iter	Passed	Remaining
1323	4330	575
1324	4333	572
1325	4337	569
1326	4340	565
1327	4344	562
1328	4347	559
1329	4350	556
1330	4353	552
1331	4356	549
1332	4360	546
1333	4362	542
1334	4366	539
1335	4369	536
1336	4373	533
1337	4377	529
1338	4380	526
1339	4383	523
1340	4387	520
1341	4390	516
1342	4393	513
1343	4397	510
1344	4400	507
1345	4403	503
1346	4406	500
1347	4409	497
1348	4413	494
1349	4417	490
1350	4420	487
1351	4424	484
1352	4428	481
1353	4431	477
1354	4434	474
1355	4437	471
1356	4440	467
1357	4444	464
1358	4448	461
1359	4452	458
1360	4454	454
1361	4458	451
1362	4461	448
1363	4464	445
1364	4468	441
1365	4471	438
1366	4473	435
1367	4476	431
1368	4479	428
1369	4482	425
1370	4485	422
1371	4487	418
1372	4490	415
1373	4493	412
1374	4496	408
1375	4499	405
1376	4503	402
1377	4507	399
1378	4510	395
1379	4514	392
1380	4518	389
1381	4521	386
1382	4524	382
1383	4528	379
1384	4531	376
1385	4534	372
1386	4538	369
1387	4541	366
1388	4544	363
1389	4548	359
1390	4551	356
1391	4554	353
1392	4557	350
1393	4560	346
1394	4564	343
1395	4567	340
1396	4570	336
1397	4573	333
1398	4576	330
1399	4579	327
1400	4583	323
1401	4586	320
1402	4589	317
1403	4593	314
1404	4596	310
1405	4599	307
1406	4603	304
1407	4606	300
1408	4609	297
1409	4612	294
1410	4615	291
1411	4618	287
1412	4622	284
1413	4625	281
1414	4628	278
1415	4631	274
1416	4634	271
1417	4637	268
1418	4640	264
1419	4643	261
1420	4647	258
1421	4650	255
1422	4653	251
1423	4657	248
1424	4661	245
1425	4664	242
1426	4667	238
1427	4671	235
1428	4674	232
1429	4677	228
1430	4681	225
1431	4685	222
1432	4689	219
1433	4692	215
1434	4695	212
1435	4698	209
1436	4702	206
1437	4706	202
1438	4709	199
1439	4712	196
1440	4715	193
1441	4719	189
1442	4722	186
1443	4726	183
1444	4729	180
1445	4732	176
1446	4736	173
1447	4739	170
1448	4743	166
1449	4746	163
1450	4749	160
1451	4752	157
1452	4755	153
1453	4759	150
1454	4762	147
1455	4766	144
1456	4769	140
1457	4772	137
1458	4775	134
1459	4778	130
1460	4781	127
1461	4784	124
1462	4788	121
1463	4791	117
1464	4794	114
1465	4797	111
1466	4801	107
1467	4804	104
1468	4807	101
1469	4810	98
1470	4814	94
1471	4817	91
1472	4821	88
1473	4824	85
1474	4827	81
1475	4831	78
1476	4834	75
1477	4837	72
1478	4841	68
1479	4844	65
1480	4847	62
1481	4850	58
1482	4852	55
1483	4856	52
1484	4858	49
1485	4861	45
1486	4865	42
1487	4868	39
1488	4871	35
1489	4875	32
1490	4878	29
1491	4881	26
1492	4884	22
1493	4888	19
1494	4891	16
1495	4895	13
1496	4898	9
1497	4901	6
1498	4904	3
1499	4907	0
